Bulan,Years,Tanggal,Min of Suhu Minimum (°C),Max of Suhu Maksimum (°C),Average of Suhu Rata-rata (°C),Average of Kelembaban Rata-rata (%),Sum of Curah Hujan (mm),Average of Lama Penyinaran (jam),Average of Kecepatan Angin Rata-rata (knot),Average of Kecepatan Angin Terbesar (knot)
Jan-87,1987,Jan,22.8,33.8,27.05483871,84.5483871,475.5,3.419354839,2.709677419,4.064516129
Feb-87,,Feb,22.7,33.6,27.33214286,83.96428571,358.7,5.767857143,2.857142857,4.035714286
Mar-87,,Mar,23.6,33.8,28.24193548,79.22580645,160.9,5.958064516,2.870967742,3.838709677
Apr-87,,Apr,24.1,35.2,29.11333333,74.8,77.8,6.956666667,3.033333333,3.866666667
May-87,,May,23,34.1,28.50322581,75.06451613,49.5,6.219354839,2.967741935,3.838709677
Jun-87,,Jun,23.2,33.4,28.15,74.93333333,68.1,6.866666667,3.133333333,4.1
Jul-87,,Jul,22.8,32.5,27.53548387,73.74193548,54.7,7.55483871,2.903225806,3.870967742
Aug-87,,Aug,21.6,33.5,27.32580645,68.51612903,0,7.890322581,2.967741935,4
Sep-87,,Sep,22.7,34.7,28.26333333,66.06666667,0,7.953333333,3.066666667,4.133333333
Oct-87,,Oct,23.5,35.9,29.7483871,61.96774194,0,7.74516129,3.225806452,4.225806452
Nov-87,,Nov,23,36.9,29.65333333,70.86666667,177.5,5.846666667,3.266666667,4.2
Dec-87,,Dec,23.9,34.6,28.36129032,78.58064516,568.9,4.748387097,3.35483871,4.35483871
Jan-88,1988,Jan,23.1,35,28.1,82.4516129,473.7,4.4,3,3.903225806
Feb-88,,Feb,24.1,34.8,28.42068966,78.82758621,215.5,5.475862069,2.931034483,3.551724138
Mar-88,,Mar,24.7,36.8,28.89677419,79.29032258,222,5.061290323,3.032258065,3.806451613
Apr-88,,Apr,23.2,34.7,29.08666667,77.5,157.6,6.586666667,2.766666667,3.766666667
May-88,,May,24.2,34,28.48064516,78.12903226,93.5,5.54516129,3.709677419,3.290322581
Jun-88,,Jun,22.2,33.7,27.26333333,76.3,41.2,7.1,2.933333333,3.7
Jul-88,,Jul,21.4,32.7,26.63870968,77.64516129,0,7.393548387,2.935483871,3.677419355
Aug-88,,Aug,22.4,33.6,27.61290323,75.80645161,20.1,7.164516129,3.064516129,4.032258065
Sep-88,,Sep,22.9,35,28.62333333,64.8,0,7.693333333,3.066666667,4
Oct-88,,Oct,23.5,36.7,29.15806452,67.09677419,21,5.64516129,2.838709677,3.870967742
Nov-88,,Nov,24.2,36.2,28.52666667,73.53333333,95.3,4.206666667,2.8,3.8
Dec-88,,Dec,23,34.9,27.59032258,77.4516129,247.3,4.425806452,3.451612903,4.193548387
Jan-89,1989,Jan,23.4,35.5,27.86451613,78.32258065,363.8,4.764516129,2.903225806,3.741935484
Feb-89,,Feb,22.4,33.6,26.76785714,82.35714286,408.1,3.535714286,3.285714286,3.964285714
Mar-89,,Mar,23.2,34.8,27.47096774,80.83870968,207.4,3.932258065,3.258064516,3.870967742
Apr-89,,Apr,23.5,35.4,27.94333333,78.2,89.6,6.04,2.966666667,3.733333333
May-89,,May,23.5,34.5,28.23225806,77.41935484,154.6,6.112903226,3.516129032,4.322580645
Jun-89,,Jun,23.6,34,27.37333333,79.76666667,78.7,5.563333333,3,3.466666667
Jul-89,,Jul,23,33.5,28.0516129,76.80645161,28.1,6.951612903,3.032258065,3.903225806
Aug-89,,Aug,22.2,33.2,27.3,75.58064516,16.7,6.806451613,3.451612903,4.225806452
Sep-89,,Sep,22.5,35.2,28.27333333,69.63333333,0.5,7.463333333,3.466666667,4.3
Oct-89,,Oct,24.2,36.2,29.30967742,69.70967742,54.8,6.9,3.064516129,3.838709677
Nov-89,,Nov,24.8,36.4,29.29,72.56666667,60.1,6.26,3.133333333,3.733333333
Dec-89,,Dec,23.4,35.6,28.9483871,80.19354839,182.1,6.141935484,3.096774194,3.741935484
Jan-90,1990,Jan,23.8,34.6,27.34193548,86.51612903,336,3.009677419,3.032258065,4.096774194
Feb-90,,Feb,23.4,35.3,28.5,79.75,216.8,5.692857143,2.892857143,3.785714286
Mar-90,,Mar,23.4,35.1,28.14516129,80.58064516,232.3,5.258064516,3.129032258,3.903225806
Apr-90,,Apr,24.4,36.3,28.67,76,68.6,6.13,3.1,3.733333333
May-90,,May,24.2,36,28.27419355,76.87096774,78.7,6.125806452,2.935483871,3.677419355
Jun-90,,Jun,22.5,32.9,27.86666667,76.56666667,33,7.113333333,3.433333333,4.166666667
Jul-90,,Jul,22,33.3,27.83870968,74.61290323,24.7,7.380645161,3.096774194,3.838709677
Aug-90,,Aug,23.3,34.5,28.32580645,69.25806452,0,6.716129032,3.290322581,3.838709677
Sep-90,,Sep,24,34.8,29.18333333,66.5,14.8,7.776666667,3.433333333,4.766666667
Oct-90,,Oct,23,36.3,29.85806452,66.67741935,0,7.909677419,3.419354839,4.516129032
Nov-90,,Nov,25,37.5,30.45,70.3,46.3,7.36,3.166666667,3.933333333
Dec-90,,Dec,23.2,35.9,27.63548387,83.58064516,223.5,3.716129032,3.225806452,4.225806452
Jan-91,1991,Jan,23,34.6,27.77096774,81.41935484,290.2,4.722580645,3.096774194,4.096774194
Feb-91,,Feb,23.4,34.3,27.26785714,84.03571429,198.5,3.789285714,3.642857143,4.821428571
Mar-91,,Mar,23.9,35.8,28.52903226,77.16129032,47.8,6.029032258,3.193548387,3.903225806
Apr-91,,Apr,22.2,35.3,27.60333333,83.46666667,418.1,4.593333333,3.133333333,3.733333333
May-91,,May,21.5,32.7,27.77096774,76.5483871,66.1,7.54516129,3.516129032,4.419354839
Jun-91,,Jun,21.5,32.9,27.09333333,76.1,11,7.446666667,3.233333333,4.033333333
Jul-91,,Jul,20.4,32.5,27.25806452,73.93548387,2.2,7.735483871,3.419354839,4.322580645
Aug-91,,Aug,21,32.5,26.54516129,70.87096774,0,7.987096774,3.35483871,4.419354839
Sep-91,,Sep,20.3,34.4,27.91333333,65.8,0,7.86,3.233333333,4.066666667
Oct-91,,Oct,23.5,36.2,29.33870968,63.51612903,0,7.525806452,3.387096774,4.290322581
Nov-91,,Nov,24,35.4,28.89333333,74.23333333,137.2,6.433333333,3.066666667,3.433333333
Dec-91,,Dec,23,34.9,28.08064516,80.74193548,230.7,4.767741935,3.032258065,3.677419355
Jan-92,1992,Jan,23.6,34.8,28.04516129,81.29032258,312.4,5.938709677,3.129032258,4.064516129
Feb-92,,Feb,23,35.3,27.93793103,82.82758621,241.1,4.962068966,3.24137931,4
Mar-92,,Mar,23.4,34.6,27.89354839,83.5483871,238.9,5,3.064516129,4
Apr-92,,Apr,24,33.4,27.94666667,81.86666667,165.8,4.656666667,3.166666667,4.033333333
May-92,,May,22.8,33,28.23225806,77.41935484,39,6.296774194,3.161290323,4.419354839
Jun-92,,Jun,23,32.8,27.66333333,74.6,43,6.5,3.266666667,4.366666667
Jul-92,,Jul,20,32.1,26.85483871,72.90322581,16,7.303225806,3.548387097,5.419354839
Aug-92,,Aug,20.6,33.6,27.60967742,69.93548387,7,6.835483871,3.419354839,4.419354839
Sep-92,,Sep,23.8,35.1,28.61666667,68.53333333,7.5,7.223333333,3.4,4.6
Oct-92,,Oct,24,36.2,29.11612903,68.96774194,51.8,6.222580645,3.161290323,3.967741935
Nov-92,,Nov,24,35.5,28.56,73.33333333,129.6,5.733333333,3.066666667,4.233333333
Dec-92,,Dec,22,35.5,27.69677419,79.5483871,441.2,4.506451613,2.967741935,3.903225806
Jan-93,1993,Jan,22.4,35.6,27.6516129,80.90322581,232,4.532258065,3.129032258,3.741935484
Feb-93,,Feb,24,35,27.70714286,78.64285714,280.6,5.964285714,2.964285714,3.785714286
Mar-93,,Mar,23.2,34,27.6483871,80.67741935,211.3,5.75483871,2.838709677,3.677419355
Apr-93,,Apr,24.5,33.8,27.88666667,79.73333333,67.7,4.743333333,3.1,3.966666667
May-93,,May,24,33.7,28.60322581,77.58064516,27.5,6.748387097,3.225806452,4.451612903
Jun-93,,Jun,24,33.9,28.18666667,78.23333333,115.4,6.023333333,3.4,4.5
Jul-93,,Jul,22.5,33.2,27.39677419,73.29032258,3.5,7.780645161,3.548387097,4.483870968
Aug-93,,Aug,23,33,27.81612903,72.83870968,54.4,7.625806452,3.580645161,5
Sep-93,,Sep,21,34,28.34333333,67.96666667,0,7.846666667,3.466666667,4.433333333
Oct-93,,Oct,24,36,29.6483871,66.12903226,0,7.948387097,3.35483871,4
Nov-93,,Nov,22.1,36.4,30.01,70.26666667,32.3,5.79,2.833333333,3.8
Dec-93,,Dec,24.7,35.4,29.08709677,75.70967742,333.8,5.441935484,2.870967742,3.516129032
Jan-94,1994,Jan,23.7,34.7,27.73870968,82.09677419,270.5,4.680645161,2.774193548,3.612903226
Feb-94,,Feb,23.8,34.7,27.87857143,81.75,276.2,4.421428571,2.964285714,3.821428571
Mar-94,,Mar,23.8,33.6,27.51612903,83.03225806,403.6,3.232258065,2.806451613,3.322580645
Apr-94,,Apr,24.4,34,28.24,78.4,128,5.5,2.866666667,3.633333333
May-94,,May,22.1,34.3,27.75806452,72.48387097,8.7,7.167741935,2.935483871,3.967741935
Jun-94,,Jun,21.4,33.6,27.23666667,70.96666667,18.8,7.23,2.866666667,3.933333333
Jul-94,,Jul,20.5,32.9,26.6516129,69,0,7.570967742,3,4.35483871
Aug-94,,Aug,20.7,33,26.99677419,67.5483871,0,7.870967742,3.419354839,4.774193548
Sep-94,,Sep,22.3,34,27.74666667,62.76666667,0,7.576666667,3.133333333,4.366666667
Oct-94,,Oct,23.5,36.2,29.67741935,61.4516129,0,6.932258065,3.096774194,4.419354839
Nov-94,,Nov,25.8,36.3,30.68,66.03333333,17.6,6.63,2.966666667,4.2
Dec-94,,Dec,24.4,35.7,28.86129032,76.58064516,181.6,4.364516129,2.709677419,3.35483871
Jan-95,1995,Jan,22.9,35,28.0516129,80.96774194,178.2,3.061290323,2.870967742,4.258064516
Feb-95,,Feb,22.2,34.2,27.73571429,82.32142857,315.8,4.032142857,2.892857143,3.785714286
Mar-95,,Mar,22,33.9,28.10645161,81.83870968,242.3,4.251612903,2.709677419,3.35483871
Apr-95,,Apr,22,34.7,28.74666667,77.83333333,292.8,6.366666667,2.066666667,3.333333333
May-95,,May,22.9,34.6,29.26129032,75.93548387,40.8,7.193548387,2.096774194,3.612903226
Jun-95,,Jun,22.7,33.9,28.6,77.43333333,107.6,6.493333333,1.833333333,3.933333333
Jul-95,,Jul,21.4,33,27.87096774,74.74193548,2.4,6.916129032,2.064516129,4.193548387
Aug-95,,Aug,21.2,33,27.66774194,68.5483871,0,7.809677419,2.225806452,4.419354839
Sep-95,,Sep,22.3,35.1,29.02666667,66,0,7.85,2.266666667,4.766666667
Oct-95,,Oct,23.7,35.5,30.20322581,67.80645161,87.7,7.477419355,2,4
Nov-95,,Nov,23,35.4,28.65333333,78.36666667,295.5,4.67,2.233333333,3.466666667
Dec-95,,Dec,22.8,34.4,28.38064516,78.03225806,278.6,4.712903226,1.967741935,3.967741935
Jan-96,1996,Jan,22.8,34.7,28.10645161,79.93548387,309.5,4.096774194,1.870967742,3.709677419
Feb-96,,Feb,22.9,33.9,27.74827586,81.48275862,337.3,4.968965517,2,4.413793103
Mar-96,,Mar,23.1,34.2,28.98064516,76.67741935,174.4,6.780645161,2,3.741935484
