Nama Stasiun ,WMO ID,Tanggal,Suhu Minimum (°C),Suhu Maksimum (°C),Suhu Rata-rata (°C),Kelembaban Rata-rata (%),Curah Hujan (mm),Lama Penyinaran (jam),Kecepatan Angin Rata-rata (knot),Kecepatan Angin Terbesar (knot)
Stasiun Meteorologi Perak I,96933,01/01/1987,24.8,31.2,27.4,84,3.1,7.9,2,3
Stasiun Meteorologi Perak I,96933,02/01/1987,25,29.8,26.7,86,0.3,0.8,2,3
Stasiun Meteorologi Perak I,96933,03/01/1987,24.6,32,28.6,78,0,7.9,3,4
Stasiun Meteorologi Perak I,96933,04/01/1987,23,31.9,27.2,84,29,6.4,3,6
Stasiun Meteorologi Perak I,96933,05/01/1987,24.4,30.4,27.4,82,0.2,3.3,4,8
Stasiun Meteorologi Perak I,96933,06/01/1987,23.6,32,27,85,10.9,6.5,4,6
Stasiun Meteorologi Perak I,96933,07/01/1987,24.5,32,27.6,81,0,2,3,5
Stasiun Meteorologi Perak I,96933,08/01/1987,24,30.6,27,83,0,0.6,3,4
Stasiun Meteorologi Perak I,96933,09/01/1987,24.3,30.8,26,86,2.8,2.8,3,6
Stasiun Meteorologi Perak I,96933,10/01/1987,22.4,32.4,26.7,84,30.5,7.1,2,3
Stasiun Meteorologi Perak I,96933,11/01/1987,24,31.5,27.7,76,5,2.9,3,5
Stasiun Meteorologi Perak I,96933,12/01/1987,24,32.8,27.9,81,5,5.5,3,6
Stasiun Meteorologi Perak I,96933,13/01/1987,23.3,31.4,26.8,86,38.5,3.4,2,5
Stasiun Meteorologi Perak I,96933,14/01/1987,24.8,30.7,27,80,0,3.5,4,7
Stasiun Meteorologi Perak I,96933,15/01/1987,24.6,30.7,27.6,79,1.7,4,3,8
Stasiun Meteorologi Perak I,96933,16/01/1987,25.2,31.8,27.6,80,0.2,1.8,4,8
Stasiun Meteorologi Perak I,96933,17/01/1987,24,31,27.4,82,0,2.4,4,8
Stasiun Meteorologi Perak I,96933,18/01/1987,23.3,32.6,27.3,82,11.6,7.9,4,6
Stasiun Meteorologi Perak I,96933,19/01/1987,25,30.4,27.4,84,0,0.8,3,7
Stasiun Meteorologi Perak I,96933,20/01/1987,24.2,32,28,81,4,7.4,3,6
Stasiun Meteorologi Perak I,96933,21/01/1987,25,31.6,27.6,82,0,4.2,3,6
Stasiun Meteorologi Perak I,96933,22/01/1987,24.3,31.3,27,86,7.5,2.2,3,4
Stasiun Meteorologi Perak I,96933,23/01/1987,24.3,32,27,83,55.1,6.2,3,8
Stasiun Meteorologi Perak I,96933,24/01/1987,25.4,30.8,27.8,80,3.8,2.6,4,8
Stasiun Meteorologi Perak I,96933,25/01/1987,23.7,29.4,26.8,88,40,0.8,3,5
Stasiun Meteorologi Perak I,96933,26/01/1987,23,28.4,24.8,94,45,0.4,3,6
Stasiun Meteorologi Perak I,96933,27/01/1987,24,29.6,25.4,84,5,2.5,4,7
Stasiun Meteorologi Perak I,96933,28/01/1987,23.9,29.4,26.1,86,12,0,3,5
Stasiun Meteorologi Perak I,96933,29/01/1987,22.7,29.8,25.5,88,17.9,0.8,4,8
Stasiun Meteorologi Perak I,96933,30/01/1987,24.5,29.2,25.6,88,3.8,0,4,8
Stasiun Meteorologi Perak I,96933,31/01/1987,24.4,31,26.2,82,3.5,2.5,4,8
Stasiun Meteorologi Perak I,96933,01/02/1987,25.3,31.6,27.4,80,2.8,4.7,3,8
Stasiun Meteorologi Perak I,96933,02/02/1987,25,31.8,28,77,0.5,6.8,4,8
Stasiun Meteorologi Perak I,96933,03/02/1987,24,31.8,27.1,78,3.2,7.3,4,7
Stasiun Meteorologi Perak I,96933,04/02/1987,25,32.2,28,82,1.5,7.4,4,8
Stasiun Meteorologi Perak I,96933,05/02/1987,24.5,32.4,28,80,8,6.9,3,5
Stasiun Meteorologi Perak I,96933,06/02/1987,25,31.4,27.4,79,0.3,4.3,3,5
Stasiun Meteorologi Perak I,96933,07/02/1987,24.2,32,28.1,77,0,7.5,3,5
Stasiun Meteorologi Perak I,96933,08/02/1987,23.3,32.2,27.3,80,20,6,3,8
Stasiun Meteorologi Perak I,96933,09/02/1987,23.8,32.2,25.4,86,0.1,3.7,3,5
Stasiun Meteorologi Perak I,96933,10/02/1987,23,31.4,25.7,90,17.8,1.8,2,4
Stasiun Meteorologi Perak I,96933,11/02/1987,23,31,26.1,88,38,3.7,2,6
Stasiun Meteorologi Perak I,96933,12/02/1987,21.6,32,26,89,85.6,6,2,5
Stasiun Meteorologi Perak I,96933,13/02/1987,24.6,30.6,26.4,88,3,5.1,3,6
Stasiun Meteorologi Perak I,96933,14/02/1987,21.5,32,27.9,82,0.1,6.9,3,6
Stasiun Meteorologi Perak I,96933,15/02/1987,23,32,27,85,60,3.7,3,4
Stasiun Meteorologi Perak I,96933,16/02/1987,23.1,31,26.7,83,12.3,7.7,3,4
Stasiun Meteorologi Perak I,96933,17/02/1987,24.2,31.6,26.1,88,1.6,5.8,3,7
Stasiun Meteorologi Perak I,96933,18/02/1987,25,30.6,26.5,86,0.8,4.7,3,6
Stasiun Meteorologi Perak I,96933,19/02/1987,23.6,30.6,27,86,6.8,4.3,3,8
Stasiun Meteorologi Perak I,96933,20/02/1987,23,31.8,26.1,88,15.2,1.2,3,4
Stasiun Meteorologi Perak I,96933,21/02/1987,24,32.4,26.5,85,2.5,5.8,3,5
Stasiun Meteorologi Perak I,96933,22/02/1987,23,31.8,27.8,79,25.7,5.6,3,6
Stasiun Meteorologi Perak I,96933,23/02/1987,25,32,28,82,2.4,7.3,3,6
Stasiun Meteorologi Perak I,96933,24/02/1987,23.2,32.2,27.5,90,15.7,6.6,3,8
Stasiun Meteorologi Perak I,96933,25/02/1987,24,30.2,26.5,90,0.9,3.9,3,6
Stasiun Meteorologi Perak I,96933,26/02/1987,25,30,26.4,84,0,0.6,2,5
Stasiun Meteorologi Perak I,96933,27/02/1987,25,31.6,28,80,0,6.5,3,5
Stasiun Meteorologi Perak I,96933,28/02/1987,24.4,32,28.3,82,0.2,7,3,4
Stasiun Meteorologi Perak I,96933,01/03/1987,24,33.4,27.4,82,15.8,8,2,6
Stasiun Meteorologi Perak I,96933,02/03/1987,24.2,30.6,27.1,84,0.8,4.8,2,4
Stasiun Meteorologi Perak I,96933,03/03/1987,22,31.2,26.1,89,119.5,4.8,2,8
Stasiun Meteorologi Perak I,96933,04/03/1987,24,31.8,27,86,0,5.6,2,4
Stasiun Meteorologi Perak I,96933,05/03/1987,25.2,32.3,27.9,81,0,8,3,4
Stasiun Meteorologi Perak I,96933,06/03/1987,24,32,27,86,44.2,4.7,2,3
Stasiun Meteorologi Perak I,96933,07/03/1987,24.4,31.6,27.2,86,0,0.4,2,6
Stasiun Meteorologi Perak I,96933,08/03/1987,25,32.4,28.2,78,0,6.7,2,4
Stasiun Meteorologi Perak I,96933,09/03/1987,25,32.4,28.5,80,0,6.6,3,5
Stasiun Meteorologi Perak I,96933,10/03/1987,24,30.8,27.6,82,13.2,1.5,3,5
Stasiun Meteorologi Perak I,96933,11/03/1987,24.5,32,28.7,78,0,5,3,6
Stasiun Meteorologi Perak I,96933,12/03/1987,24.5,32.6,28.6,79,0,5,3,4
Stasiun Meteorologi Perak I,96933,13/03/1987,26,32,29.7,76,0,8,2,6
Stasiun Meteorologi Perak I,96933,14/03/1987,25.3,34.2,29,82,0,7.8,3,4
Stasiun Meteorologi Perak I,96933,15/03/1987,24.4,33,29,78,0,5.6,3,6
Stasiun Meteorologi Perak I,96933,16/03/1987,25,31.2,26.4,88,10.3,4,2,4
Stasiun Meteorologi Perak I,96933,17/03/1987,25,32.5,27.8,80,0,7.4,2,4
Stasiun Meteorologi Perak I,96933,18/03/1987,25.2,33,27.6,81,0,8,3,5
Stasiun Meteorologi Perak I,96933,19/03/1987,25.2,32.2,27.5,80,0,4.5,2,6
Stasiun Meteorologi Perak I,96933,20/03/1987,24.6,31.4,27.7,80,0,6,3,4
Stasiun Meteorologi Perak I,96933,21/03/1987,24.4,30.4,27.1,84,0,0.4,2,3
Stasiun Meteorologi Perak I,96933,22/03/1987,25.4,33.8,27.7,80,0,7.2,2,3
Stasiun Meteorologi Perak I,96933,23/03/1987,23.5,33.8,27.3,85,14.8,6,2,4
Stasiun Meteorologi Perak I,96933,24/03/1987,24.2,32.4,27,84,16.2,4.6,3,5
Stasiun Meteorologi Perak I,96933,25/03/1987,24.6,31,26.3,88,2.7,3,2,4
Stasiun Meteorologi Perak I,96933,26/03/1987,24.4,32.4,28.5,78,1.3,4.7,2,5
Stasiun Meteorologi Perak I,96933,27/03/1987,23,32.2,28.4,80,50.2,6.4,2,4
Stasiun Meteorologi Perak I,96933,28/03/1987,27,32.4,27.6,82,0,6,2,5
Stasiun Meteorologi Perak I,96933,29/03/1987,25,31.8,28.6,76,13.7,2.5,2,4
Stasiun Meteorologi Perak I,96933,30/03/1987,24.5,32.4,27.9,79,5.5,6.4,2,3
Stasiun Meteorologi Perak I,96933,31/03/1987,25.4,33,28.6,75,1.3,7.7,3,4
Stasiun Meteorologi Perak I,96933,01/04/1987,25,32.4,29,78,0,7.1,3,7
Stasiun Meteorologi Perak I,96933,02/04/1987,25,32.6,28.5,75,0,8,2,6
Stasiun Meteorologi Perak I,96933,03/04/1987,25.8,33,28.7,74,0,7.7,3,5
Stasiun Meteorologi Perak I,96933,04/04/1987,25,33,28.7,77,0,7.7,3,4
Stasiun Meteorologi Perak I,96933,05/04/1987,25.5,33.2,28.7,76,0,7.3,2,4
Stasiun Meteorologi Perak I,96933,06/04/1987,25.5,32.6,27.7,80,0,3.8,3,4
Stasiun Meteorologi Perak I,96933,07/04/1987,25,32.4,29,76,3.7,6.6,2,4
Stasiun Meteorologi Perak I,96933,08/04/1987,24,33.6,28.8,76,27.9,8,3,4
Stasiun Meteorologi Perak I,96933,09/04/1987,24.5,32.5,27.6,81,0,7,3,6
Stasiun Meteorologi Perak I,96933,10/04/1987,25,32.4,28.1,79,0,5,2,7
Stasiun Meteorologi Perak I,96933,11/04/1987,25.6,34,28.8,77,0,8,2,4
Stasiun Meteorologi Perak I,96933,12/04/1987,23.4,33.6,28.8,78,0,8,3,4
Stasiun Meteorologi Perak I,96933,13/04/1987,24.5,32.8,27.8,77,0,8,2,4
Stasiun Meteorologi Perak I,96933,14/04/1987,24.4,33.4,28.6,74,21.3,6.4,3,3
Stasiun Meteorologi Perak I,96933,15/04/1987,25.5,32.6,27.6,82,0,5.6,2,3
Stasiun Meteorologi Perak I,96933,16/04/1987,24.5,32.2,28.1,80,0.4,4.4,3,3
Stasiun Meteorologi Perak I,96933,17/04/1987,26.4,33,28.6,77,0,8,3,4
Stasiun Meteorologi Perak I,96933,18/04/1987,25.5,33,29.3,78,0,7.5,3,6
Stasiun Meteorologi Perak I,96933,19/04/1987,24.3,33,28.7,75,23,6.8,2,4
Stasiun Meteorologi Perak I,96933,20/04/1987,24.5,31.4,27.9,84,3.5,4.7,3,4
Stasiun Meteorologi Perak I,96933,21/04/1987,23.9,31.8,28.4,81,15.2,3.8,2,4
Stasiun Meteorologi Perak I,96933,22/04/1987,26,31.8,28.6,78,0,4.8,2,3
Stasiun Meteorologi Perak I,96933,23/04/1987,27,33.2,29.5,74,0,8,3,4
Stasiun Meteorologi Perak I,96933,24/04/1987,24.3,33,29.5,76,0,8,3,5
Stasiun Meteorologi Perak I,96933,25/04/1987,24.9,33,28.2,76,0,7.5,3,4
Stasiun Meteorologi Perak I,96933,26/04/1987,25,33.2,28.8,77,10.4,5.1,3,4
Stasiun Meteorologi Perak I,96933,27/04/1987,25,33.2,28.3,76,0,7.4,2,3
Stasiun Meteorologi Perak I,96933,28/04/1987,25.6,32.5,27.9,80,0,6.5,2,3
Stasiun Meteorologi Perak I,96933,29/04/1987,26,33,28.6,78,0,7.7,3,7
Stasiun Meteorologi Perak I,96933,30/04/1987,25.6,33.4,29.4,78,1,7.2,3,7
Stasiun Meteorologi Perak I,96933,01/05/1987,25,33.4,28.7,78,0,8,2,6
Stasiun Meteorologi Perak I,96933,02/05/1987,25.2,33.8,28.9,79,0,8,2,4
Stasiun Meteorologi Perak I,96933,03/05/1987,25.2,34.2,29,75,0,5,2,3
Stasiun Meteorologi Perak I,96933,04/05/1987,25,34,28.9,72,0,7,3,6
Stasiun Meteorologi Perak I,96933,05/05/1987,23.8,33.9,28.7,74,17,6.8,2,4
Stasiun Meteorologi Perak I,96933,06/05/1987,24.5,31.6,27.2,85,0,2.9,2,5
Stasiun Meteorologi Perak I,96933,07/05/1987,24,32.6,28,77,15.5,8,2,4
Stasiun Meteorologi Perak I,96933,08/05/1987,24.2,29.8,27,86,13.3,2.3,3,4
Stasiun Meteorologi Perak I,96933,09/05/1987,23.6,30,26.5,88,20.9,0.4,2,4
Stasiun Meteorologi Perak I,96933,10/05/1987,23,30.2,27,82,0,0.8,2,4
Stasiun Meteorologi Perak I,96933,11/05/1987,22,31.4,26.8,78,0,6.7,2,3
Stasiun Meteorologi Perak I,96933,12/05/1987,23,33.2,26.6,78,0,8,2,3
Stasiun Meteorologi Perak I,96933,13/05/1987,24.8,32.6,27.3,80,0,7.6,2,3
Stasiun Meteorologi Perak I,96933,14/05/1987,25.5,32.8,28.5,81,0,5.3,3,6
Stasiun Meteorologi Perak I,96933,15/05/1987,25.6,32.8,29.1,79,0.4,7.2,2,6
Stasiun Meteorologi Perak I,96933,16/05/1987,25.2,32.4,29.1,78,0,8,3,7
Stasiun Meteorologi Perak I,96933,17/05/1987,23.8,33.2,29,70,0,8,2,4
Stasiun Meteorologi Perak I,96933,18/05/1987,23.6,32.6,27.9,76,0,7.8,2,5
Stasiun Meteorologi Perak I,96933,19/05/1987,26,32.4,27.9,80,0,8,3,6
Stasiun Meteorologi Perak I,96933,20/05/1987,24,32.6,28.9,74,0,8,2,6
Stasiun Meteorologi Perak I,96933,21/05/1987,26.2,32.9,28.2,74,0,8,2,6
Stasiun Meteorologi Perak I,96933,22/05/1987,26.4,32.4,28.3,78,0,8,3,6
Stasiun Meteorologi Perak I,96933,23/05/1987,24,32.8,29.5,70,0,8,4,8
Stasiun Meteorologi Perak I,96933,24/05/1987,24,33.2,28.8,74,0,7.7,3,4
Stasiun Meteorologi Perak I,96933,25/05/1987,24,32,28,71,0,7.9,3,6
Stasiun Meteorologi Perak I,96933,26/05/1987,25,32.8,28,77,0,7.2,2,4
Stasiun Meteorologi Perak I,96933,27/05/1987,24.5,32.6,28,77,0,7.8,2,4
Stasiun Meteorologi Perak I,96933,28/05/1987,24.5,32.4,27.9,79,0,7.7,2,4
Stasiun Meteorologi Perak I,96933,29/05/1987,25.4,31.4,28.5,80,0.3,6.7,2,4
Stasiun Meteorologi Perak I,96933,30/05/1987,25,32.3,29.2,80,0,5.5,3,6
Stasiun Meteorologi Perak I,96933,31/05/1987,25.2,32.4,29.7,76,0,7.2,3,6
Stasiun Meteorologi Perak I,96933,01/06/1987,26,32.4,29.5,78,0,1.8,3,7
Stasiun Meteorologi Perak I,96933,02/06/1987,27,31.8,28.4,82,0,3.4,4,8
Stasiun Meteorologi Perak I,96933,03/06/1987,26,31,28.3,86,4.5,0.8,3,7
Stasiun Meteorologi Perak I,96933,04/06/1987,25.5,32.6,28.7,86,2.4,5,2,6
Stasiun Meteorologi Perak I,96933,05/06/1987,25.5,32.4,29,84,0,7.8,3,4
Stasiun Meteorologi Perak I,96933,06/06/1987,26,32.4,29,82,0,7.6,2,5
Stasiun Meteorologi Perak I,96933,07/06/1987,24.5,33,28.1,83,0,6.5,2,3
Stasiun Meteorologi Perak I,96933,08/06/1987,26.5,32.6,28.8,79,0,8,3,5
Stasiun Meteorologi Perak I,96933,09/06/1987,23.5,32.9,28.5,80,0,8,3,5
Stasiun Meteorologi Perak I,96933,10/06/1987,24,32.8,27.8,78,0,8,3,4
Stasiun Meteorologi Perak I,96933,11/06/1987,23,32,27.9,78,0,7.9,3,5
Stasiun Meteorologi Perak I,96933,12/06/1987,22.5,32.6,27.4,78,0,8,3,6
Stasiun Meteorologi Perak I,96933,13/06/1987,23,32,26.8,82,0,8,2,4
Stasiun Meteorologi Perak I,96933,14/06/1987,22.2,32.8,27.9,75,0,8,3,4
