Nama Stasiun ,WMO ID,Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban Rata-rata,Curah Hujan,Lama Penyinaran,Kecepatan Angin Rata-rata,Kecepatan Angin Terbesar,NINO12,NINO3,NINO3.4,NINO4
Stasiun Meteorologi Perak I,96933,01/01/1987,24.8,31.2,27.4,84,3.1,7.9,2,3,0.8471311,0.9560066,1.045973,0.4409958
Stasiun Meteorologi Perak I,96933,02/01/1987,25,29.8,26.7,86,0.3,0.8,2,3,0.7768205,0.8740903,0.9680303,0.3875839
Stasiun Meteorologi Perak I,96933,03/01/1987,24.6,32,28.6,78,0,7.9,3,4,0.65319,0.7442742,0.8656209,0.3171846
Stasiun Meteorologi Perak I,96933,04/01/1987,23,31.9,27.2,84,29,6.4,3,6,0.566064,0.8236401,0.9346535,0.3273746
Stasiun Meteorologi Perak I,96933,05/01/1987,24.4,30.4,27.4,82,0.2,3.3,4,8,0.5638324,0.9191706,1.01256,0.3761679
Stasiun Meteorologi Perak I,96933,06/01/1987,23.6,32,27,85,10.9,6.5,4,6,0.5742025,0.9062989,1.054323,0.5060825
Stasiun Meteorologi Perak I,96933,07/01/1987,24.5,32,27.6,81,0,2,3,5,0.8129512,0.8137921,0.996484,0.5680815
Stasiun Meteorologi Perak I,96933,08/01/1987,24,30.6,27,83,0,0.6,3,4,0.8304942,0.7715962,1.033824,0.6101795
Stasiun Meteorologi Perak I,96933,09/01/1987,24.3,30.8,26,86,2.8,2.8,3,6,0.8515077,0.7762411,0.9979011,0.6212202
Stasiun Meteorologi Perak I,96933,10/01/1987,22.4,32.4,26.7,84,30.5,7.1,2,3,0.9123759,0.7864724,0.9323389,0.5671549
Stasiun Meteorologi Perak I,96933,11/01/1987,24,31.5,27.7,76,5,2.9,3,5,0.643802,0.8021757,0.9538412,0.507274
Stasiun Meteorologi Perak I,96933,12/01/1987,24,32.8,27.9,81,5,5.5,3,6,0.6078925,0.8002822,0.9603305,0.3922253
Stasiun Meteorologi Perak I,96933,13/01/1987,23.3,31.4,26.8,86,38.5,3.4,2,5,0.6399438,0.8183288,0.9930763,0.3947769
Stasiun Meteorologi Perak I,96933,14/01/1987,24.8,30.7,27,80,0,3.5,4,7,0.6289825,0.8551,1.005555,0.3496967
Stasiun Meteorologi Perak I,96933,15/01/1987,24.6,30.7,27.6,79,1.7,4,3,8,0.5412125,0.8601186,1.030675,0.3735519
Stasiun Meteorologi Perak I,96933,16/01/1987,25.2,31.8,27.6,80,0.2,1.8,4,8,0.4601853,0.7981092,0.9244148,0.2644332
Stasiun Meteorologi Perak I,96933,17/01/1987,24,31,27.4,82,0,2.4,4,8,0.2931446,0.7480586,0.8771361,0.2188704
Stasiun Meteorologi Perak I,96933,18/01/1987,23.3,32.6,27.3,82,11.6,7.9,4,6,0.2573463,0.717006,0.8700196,0.1431358
Stasiun Meteorologi Perak I,96933,19/01/1987,25,30.4,27.4,84,0,0.8,3,7,0.3228469,0.7931761,0.8932697,8.89E-02
Stasiun Meteorologi Perak I,96933,20/01/1987,24.2,32,28,81,4,7.4,3,6,0.432633,0.8193178,0.9172921,0.2018691
Stasiun Meteorologi Perak I,96933,21/01/1987,25,31.6,27.6,82,0,4.2,3,6,0.1554139,0.8008938,0.9200394,0.2333059
Stasiun Meteorologi Perak I,96933,22/01/1987,24.3,31.3,27,86,7.5,2.2,3,4,0.2707615,0.7811457,0.9245905,0.2741191
Stasiun Meteorologi Perak I,96933,23/01/1987,24.3,32,27,83,55.1,6.2,3,8,0.6338967,0.760649,0.9090082,0.3135967
Stasiun Meteorologi Perak I,96933,24/01/1987,25.4,30.8,27.8,80,3.8,2.6,4,8,0.8844202,0.6706302,0.8376548,0.2621143
Stasiun Meteorologi Perak I,96933,25/01/1987,23.7,29.4,26.8,88,40,0.8,3,5,0.9248891,0.6580747,0.8406737,0.276312
Stasiun Meteorologi Perak I,96933,26/01/1987,23,28.4,24.8,94,45,0.4,3,6,0.8405685,0.7214771,0.8739741,0.3367296
Stasiun Meteorologi Perak I,96933,27/01/1987,24,29.6,25.4,84,5,2.5,4,7,0.6915792,0.6625701,0.907813,0.377429
Stasiun Meteorologi Perak I,96933,28/01/1987,23.9,29.4,26.1,86,12,0,3,5,0.6912491,0.5774462,0.8427987,0.3688854
Stasiun Meteorologi Perak I,96933,29/01/1987,22.7,29.8,25.5,88,17.9,0.8,4,8,0.5741032,0.6096545,0.8400319,0.2907914
Stasiun Meteorologi Perak I,96933,30/01/1987,24.5,29.2,25.6,88,3.8,0,4,8,0.6319203,0.7383166,0.9427664,0.2406338
Stasiun Meteorologi Perak I,96933,31/01/1987,24.4,31,26.2,82,3.5,2.5,4,8,0.6544887,0.7709987,1.022203,0.3362861
Stasiun Meteorologi Perak I,96933,01/02/1987,25.3,31.6,27.4,80,2.8,4.7,3,8,0.6550017,0.7628082,1.005619,0.4102929
Stasiun Meteorologi Perak I,96933,02/02/1987,25,31.8,28,77,0.5,6.8,4,8,0.6172133,0.771017,0.864512,0.3480174
Stasiun Meteorologi Perak I,96933,03/02/1987,24,31.8,27.1,78,3.2,7.3,4,7,0.7077556,0.8735229,0.8800945,0.3282798
Stasiun Meteorologi Perak I,96933,04/02/1987,25,32.2,28,82,1.5,7.4,4,8,0.8397907,0.9613456,0.9007302,0.3453247
Stasiun Meteorologi Perak I,96933,05/02/1987,24.5,32.4,28,80,8,6.9,3,5,0.8847868,1.064506,1.012025,0.4258309
