"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156"
"1",0,NA,NA,23.2,NA,NA,33.8,NA,NA,NA,NA,NA,27.83,NA,NA,NA,NA,NA,81.42,NA,NA,NA,4.726,NA,NA,2.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.83,NA,NA,NA,NA,NA,NA,81.42,NA,NA,NA,NA,NA,2.516,NA,NA,NA,NA,NA,8,NA,NA,NA,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,NA,NA,22.6,NA,NA,33.2,33.8,NA,NA,NA,NA,27.67,27.83,NA,NA,NA,NA,82.79,NA,NA,NA,4.557,NA,NA,2.643,2.516,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1.98,NA,2.11,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.67,NA,NA,NA,NA,NA,NA,82.79,NA,NA,NA,NA,NA,2.643,2.516,NA,NA,NA,NA,8,8,NA,NA,1.98,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,33.8,NA,NA,NA,NA,NA,NA,NA,27.83,NA,NA,NA,NA,NA,NA,NA,82.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0,NA,NA,23.5,23.2,NA,33.2,33.2,33.8,NA,NA,NA,28.08,27.67,27.83,NA,NA,NA,83.16,NA,NA,NA,4.923,NA,NA,2.581,2.643,2.516,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,2.42,NA,1.8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.08,NA,NA,NA,NA,NA,NA,83.16,NA,NA,NA,NA,NA,2.581,2.643,NA,NA,NA,NA,8,8,NA,NA,2.42,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,33.2,33.8,NA,NA,NA,NA,NA,NA,27.67,27.83,NA,NA,NA,NA,NA,NA,83.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0,NA,NA,23,22.6,NA,34.1,33.2,33.2,33.8,NA,NA,28.07,28.08,27.67,27.83,NA,NA,84.53,81.42,NA,NA,4.377,NA,NA,2.333,2.581,2.643,NA,NA,NA,NA,8,8,8,NA,NA,NA,NA,3.25,NA,1.36,NA,NA,NA,NA,0,NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA,28.07,27.83,NA,NA,NA,NA,NA,84.53,81.42,NA,NA,4.726,NA,2.333,2.581,NA,NA,NA,NA,8,8,NA,NA,3.25,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,23.2,NA,NA,33.2,33.2,NA,NA,NA,NA,NA,NA,28.08,27.67,27.83,NA,NA,NA,NA,NA,84.53,81.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,NA,NA,23,23.5,NA,32.9,34.1,33.2,33.2,NA,NA,27.59,28.07,28.08,27.67,NA,NA,85.32,82.79,NA,NA,4.368,NA,NA,2.419,2.333,2.581,NA,NA,NA,NA,8,8,8,NA,NA,NA,NA,3.77,NA,0.98,NA,NA,NA,NA,0,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,27.59,27.67,NA,NA,NA,NA,NA,85.32,82.79,81.42,NA,4.557,NA,2.419,2.333,NA,NA,NA,NA,8,8,NA,NA,3.77,3.25,NA,NA,NA,NA,NA,2.68,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,22.6,NA,NA,34.1,33.2,NA,NA,NA,NA,NA,NA,28.07,28.08,27.67,NA,NA,NA,NA,NA,85.32,82.79,81.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0,NA,NA,21.5,23,NA,33.2,32.9,34.1,33.2,NA,NA,27.2,27.59,28.07,28.08,NA,NA,77.57,83.16,NA,NA,7.12,NA,NA,2.267,2.419,2.333,2.516,NA,NA,NA,8,8,8,NA,NA,NA,NA,4.07,NA,0.93,NA,0.2,NA,NA,0,NA,NA,23.5,NA,NA,33.8,NA,NA,NA,NA,27.2,28.08,NA,NA,NA,NA,NA,77.57,83.16,82.79,NA,4.923,NA,2.267,2.419,NA,NA,NA,NA,5,8,NA,NA,4.07,3.77,2.48,NA,NA,NA,NA,2.09,2.68,NA,NA,0.93,2.11,NA,NA,NA,0.2,NA,NA,NA,NA,0,NA,NA,23.5,NA,NA,32.9,34.1,NA,NA,NA,NA,NA,NA,27.59,28.07,28.08,NA,NA,NA,NA,NA,77.57,83.16,82.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,0.2,NA,NA,NA,NA
"7",0,NA,NA,19.5,23,23.2,32.6,33.2,32.9,34.1,NA,NA,26.4,27.2,27.59,28.07,NA,NA,73.77,84.53,NA,NA,7.813,NA,NA,2.032,2.267,2.419,2.643,2.516,NA,NA,5,8,8,8,NA,NA,NA,3.77,NA,0.6,NA,0.21,NA,NA,0,NA,NA,23,23.2,NA,33.2,NA,NA,NA,NA,26.4,28.07,27.83,NA,NA,NA,NA,73.77,84.53,83.16,NA,4.377,NA,2.032,2.267,2.516,NA,NA,NA,6,5,NA,NA,3.77,4.07,1.98,2.48,NA,NA,NA,1.57,2.09,NA,NA,0.6,1.8,NA,NA,NA,0.21,NA,NA,NA,NA,0,NA,NA,23,23.2,NA,33.2,32.9,NA,NA,NA,NA,NA,NA,27.2,27.59,28.07,27.83,NA,NA,NA,NA,73.77,84.53,83.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,0.21,NA,NA,NA,NA
"8",0,NA,NA,20.5,21.5,22.6,34,32.6,33.2,32.9,33.8,NA,26.92,26.4,27.2,27.59,27.83,NA,71.23,85.32,81.42,NA,7.771,NA,NA,2.548,2.032,2.267,2.581,2.643,NA,NA,6,5,8,8,NA,NA,NA,2.89,NA,-0.06,NA,0.1,0.2,NA,0,NA,NA,23,22.6,NA,33.2,33.8,NA,NA,NA,26.92,27.59,27.67,27.83,NA,NA,NA,71.23,85.32,84.53,NA,4.368,4.726,2.548,2.032,2.643,NA,NA,NA,8,6,NA,NA,2.89,3.77,2.42,1.98,2.48,NA,NA,1.47,1.57,2.68,NA,-0.06,1.36,NA,NA,NA,0.1,0.2,NA,NA,NA,0,NA,NA,23,22.6,NA,32.6,33.2,NA,NA,NA,NA,NA,NA,26.4,27.2,27.59,27.67,27.83,NA,NA,NA,71.23,85.32,84.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,NA,NA,NA,NA,0.1,0.2,NA,NA,NA
"9",0,NA,NA,21,19.5,23.5,36.4,34,32.6,33.2,33.2,NA,28.09,26.92,26.4,27.2,27.67,NA,65.6,77.57,82.79,81.42,7.737,4.726,NA,2.333,2.548,2.032,2.333,2.581,NA,NA,8,6,5,8,8,NA,NA,1.5,NA,-0.2,NA,-0.02,0.21,0.2,0,NA,NA,21.5,23.5,NA,34.1,33.2,NA,NA,NA,28.09,27.2,28.08,27.67,27.83,NA,NA,65.6,77.57,85.32,81.42,7.12,4.557,2.333,2.548,2.581,NA,NA,NA,8,8,8,NA,1.5,2.89,3.25,2.42,1.98,2.48,NA,1.66,1.47,2.09,2.68,-0.2,0.98,NA,NA,NA,-0.02,0.21,0.2,NA,NA,0,NA,NA,21.5,23.5,NA,34,32.6,NA,NA,NA,NA,NA,NA,26.92,26.4,27.2,28.08,27.67,NA,NA,NA,65.6,77.57,85.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA,NA,NA,-0.02,0.21,0.2,NA,NA
"10",0,NA,NA,22.3,20.5,23,35.8,36.4,34,32.6,33.2,NA,28.86,28.09,26.92,26.4,28.08,NA,71.9,73.77,83.16,82.79,5.639,4.557,NA,2.226,2.333,2.548,2.419,2.333,2.516,NA,8,8,6,8,8,NA,NA,1.07,NA,-0.45,NA,0.13,0.1,0.21,0,NA,NA,19.5,23,NA,32.9,33.2,33.8,NA,NA,28.86,26.4,28.07,28.08,27.67,NA,NA,71.9,73.77,77.57,82.79,7.813,4.923,2.226,2.333,2.333,2.516,NA,NA,10,8,8,8,1.07,1.5,3.77,3.25,2.42,1.98,NA,1.5,1.66,1.57,2.09,-0.45,0.93,2.11,NA,NA,0.13,0.1,0.21,NA,NA,0,NA,NA,19.5,23,NA,36.4,34,NA,NA,NA,NA,NA,NA,28.09,26.92,26.4,28.07,28.08,NA,NA,NA,71.9,73.77,77.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,NA,NA,NA,NA,0.13,0.1,0.21,NA,NA
