"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130"
"1",272.9,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.33,NA,NA,70.81,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,NA,NA,272.9,NA,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.33,NA,NA,NA,NA,NA,70.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,6,NA,272.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.81,NA,NA,NA,NA,NA,NA,NA,NA,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1
"2",259.7,272.9,NA,NA,NA,NA,NA,NA,24.1,24.8,NA,NA,NA,NA,NA,34.6,NA,NA,NA,NA,NA,NA,27.29,28.33,NA,71.43,70.81,NA,NA,NA,NA,NA,NA,NA,5,5.24,NA,NA,NA,NA,NA,259.7,272.9,NA,NA,NA,NA,NA,NA,NA,24.1,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.29,28.33,NA,NA,NA,NA,71.43,70.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.24,6,NA,259.7,272.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,24.8,NA,34.6,NA,NA,NA,NA,NA,NA,NA,NA,71.43,70.81,NA,NA,NA,NA,NA,NA,NA,5,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36
"3",331.8,259.7,NA,NA,NA,NA,NA,NA,24.9,24.1,NA,NA,NA,NA,NA,34.6,34.6,NA,NA,NA,NA,NA,27.05,27.29,28.33,66.06,71.43,NA,NA,NA,NA,NA,NA,NA,5.14,5,NA,NA,NA,NA,NA,331.8,259.7,272.9,NA,NA,NA,NA,NA,NA,24.9,24.1,24.8,NA,NA,NA,NA,NA,34.6,NA,NA,NA,NA,NA,NA,27.05,27.29,28.33,NA,NA,NA,66.06,71.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14,5,8,NA,331.8,259.7,272.9,NA,NA,NA,NA,NA,NA,NA,NA,24.9,24.1,24.8,34.6,34.6,NA,NA,NA,NA,NA,NA,NA,66.06,71.43,NA,NA,NA,NA,NA,NA,NA,5.14,5,5.24,NA,NA,NA,NA,NA,NA,NA,NA,3.03
"4",152.2,331.8,NA,NA,NA,NA,NA,NA,24.4,24.9,NA,NA,NA,NA,NA,34.8,34.6,34.6,NA,NA,NA,NA,27.64,27.05,27.29,69.07,66.06,70.81,NA,NA,NA,NA,NA,NA,5.01,5.14,NA,NA,NA,NA,NA,152.2,331.8,259.7,NA,NA,NA,NA,NA,NA,24.4,24.9,24.1,NA,NA,NA,NA,NA,34.6,34.6,NA,NA,NA,NA,NA,27.64,27.05,27.29,28.33,NA,NA,69.07,66.06,70.81,NA,NA,NA,NA,NA,NA,NA,NA,5.01,5.14,6,NA,152.2,331.8,259.7,NA,NA,NA,NA,NA,NA,NA,NA,24.4,24.9,24.1,34.8,34.6,34.6,NA,NA,NA,NA,NA,NA,69.07,66.06,70.81,NA,NA,NA,NA,NA,NA,5.01,5.14,5,NA,NA,NA,NA,NA,NA,NA,NA,2.7
"5",110.5,152.2,272.9,NA,NA,NA,NA,NA,24,24.4,NA,NA,NA,NA,NA,34.4,34.8,34.6,NA,NA,NA,NA,27.88,27.64,27.05,70.52,69.07,71.43,70.81,NA,NA,NA,NA,NA,4.52,5.01,NA,NA,NA,NA,NA,110.5,152.2,331.8,272.9,NA,NA,NA,NA,NA,24,24.4,24.9,NA,NA,NA,NA,NA,34.8,34.6,34.6,NA,NA,NA,NA,27.88,27.64,27.05,27.29,28.33,NA,70.52,69.07,71.43,70.81,NA,NA,NA,NA,NA,NA,NA,4.52,5.01,6,NA,110.5,152.2,331.8,272.9,NA,NA,NA,NA,NA,NA,NA,24,24.4,24.9,34.4,34.8,34.6,NA,NA,NA,NA,NA,NA,70.52,69.07,71.43,70.81,NA,NA,NA,NA,NA,4.52,5.01,5.14,5.24,NA,NA,NA,NA,NA,NA,NA,3.03
"6",9.3,110.5,259.7,272.9,NA,NA,NA,NA,22.9,24,24.8,NA,NA,NA,NA,33.7,34.4,34.8,NA,NA,NA,NA,27.5,27.88,27.64,72.07,70.52,66.06,71.43,70.81,NA,NA,NA,NA,7.21,4.52,5.24,NA,NA,NA,NA,9.3,110.5,152.2,259.7,272.9,NA,NA,NA,NA,22.9,24,24.4,24.8,NA,NA,NA,NA,34.4,34.8,34.6,NA,NA,NA,NA,27.5,27.88,27.64,27.05,27.29,NA,72.07,70.52,66.06,71.43,70.81,NA,NA,NA,NA,NA,NA,7.21,4.52,7,NA,9.3,110.5,152.2,259.7,272.9,NA,NA,NA,NA,NA,NA,22.9,24,24.4,33.7,34.4,34.8,NA,NA,NA,NA,NA,NA,72.07,70.52,66.06,71.43,70.81,NA,NA,NA,NA,7.21,4.52,5.01,5,5.24,NA,NA,NA,NA,NA,NA,3.23
"7",0,9.3,331.8,259.7,272.9,NA,NA,NA,21.1,22.9,24.1,24.8,NA,NA,NA,33.5,33.7,34.4,34.6,NA,NA,NA,25.68,27.5,27.88,62.87,72.07,69.07,66.06,71.43,70.81,NA,NA,NA,7.69,7.21,5,5.24,NA,NA,NA,0,9.3,110.5,331.8,259.7,272.9,NA,NA,NA,21.1,22.9,24,24.1,24.8,NA,NA,NA,33.7,34.4,34.8,NA,NA,NA,NA,25.68,27.5,27.88,27.64,27.05,NA,62.87,72.07,69.07,66.06,71.43,70.81,NA,NA,NA,NA,NA,7.69,7.21,7,NA,0,9.3,110.5,331.8,259.7,272.9,NA,NA,NA,NA,NA,21.1,22.9,24,33.5,33.7,34.4,34.6,NA,NA,NA,NA,NA,62.87,72.07,69.07,66.06,71.43,70.81,NA,NA,NA,7.69,7.21,4.52,5.14,5,5.24,NA,NA,NA,NA,NA,3.39
"8",0,0,152.2,331.8,259.7,272.9,NA,NA,22,21.1,24.9,24.1,24.8,NA,NA,32.8,33.5,33.7,34.6,34.6,NA,NA,27.07,25.68,27.5,55.74,62.87,70.52,69.07,66.06,71.43,NA,NA,NA,7.77,7.69,5.14,5,5.24,NA,NA,0,0,9.3,152.2,331.8,259.7,272.9,NA,NA,22,21.1,22.9,24.9,24.1,24.8,NA,NA,33.5,33.7,34.4,NA,NA,NA,NA,27.07,25.68,27.5,27.88,27.64,NA,55.74,62.87,70.52,69.07,66.06,71.43,70.81,NA,NA,NA,NA,7.77,7.69,7,NA,0,0,9.3,152.2,331.8,259.7,272.9,NA,NA,NA,NA,22,21.1,22.9,32.8,33.5,33.7,34.6,34.6,NA,NA,NA,NA,55.74,62.87,70.52,69.07,66.06,71.43,NA,NA,NA,7.77,7.69,7.21,5.01,5.14,5,5.24,NA,NA,NA,NA,3.81
"9",0,0,110.5,152.2,331.8,259.7,NA,NA,22.9,22,24.4,24.9,24.1,NA,NA,33.6,32.8,33.5,34.8,34.6,34.6,NA,28.22,27.07,25.68,63.8,55.74,72.07,70.52,69.07,66.06,NA,NA,NA,7.97,7.77,5.01,5.14,5,NA,NA,0,0,0,110.5,152.2,331.8,259.7,NA,NA,22.9,22,21.1,24.4,24.9,24.1,NA,NA,32.8,33.5,33.7,34.6,NA,NA,NA,28.22,27.07,25.68,27.5,27.88,NA,63.8,55.74,72.07,70.52,69.07,66.06,71.43,NA,NA,NA,NA,7.97,7.77,6,NA,0,0,0,110.5,152.2,331.8,259.7,272.9,NA,NA,NA,22.9,22,21.1,33.6,32.8,33.5,34.8,34.6,34.6,NA,NA,NA,63.8,55.74,72.07,70.52,69.07,66.06,NA,NA,NA,7.97,7.77,7.69,4.52,5.01,5.14,5,5.24,NA,NA,NA,3.37
"10",74.9,0,9.3,110.5,152.2,331.8,NA,NA,24,22.9,24,24.4,24.9,NA,NA,34.9,33.6,32.8,34.4,34.8,34.6,34.6,24.65,28.22,27.07,63.9,63.8,62.87,72.07,70.52,69.07,NA,NA,NA,6.01,7.97,4.52,5.01,5.14,NA,NA,74.9,0,0,9.3,110.5,152.2,331.8,NA,NA,24,22.9,22,24,24.4,24.9,NA,NA,33.6,32.8,33.5,34.6,34.6,NA,NA,24.65,28.22,27.07,25.68,27.5,NA,63.9,63.8,62.87,72.07,70.52,69.07,66.06,70.81,NA,NA,NA,6.01,7.97,6,NA,74.9,0,0,9.3,110.5,152.2,331.8,259.7,NA,NA,NA,24,22.9,22,34.9,33.6,32.8,34.4,34.8,34.6,34.6,NA,28.33,63.9,63.8,62.87,72.07,70.52,69.07,NA,NA,NA,6.01,7.97,7.77,7.21,4.52,5.01,5.14,5,NA,NA,NA,2.97
